Timestamp,IP_Address,HTTP_Method,Requested_URL,HTTP_Status,Country,Job_Type,Event_Type,Virtual_Assistant
03/01/2024 17:07,246.228.102.86,GET,/event.php,200,USA,UX Designer,Demo Day,Yes
09/10/2024 22:19,214.73.144.179,POST,/index.html,200,USA,ML Engineer,Conference,Yes
07/01/2024 04:05,86.107.115.86,POST,/assistant.php,200,USA,ML Engineer,Hackathon,Yes
22/10/2024 18:15,107.18.156.11,POST,/index.html,301,Brazil,Backend Developer,Webinar,Yes
22/08/2024 17:37,244.145.66.148,POST,/index.html,301,USA,ML Engineer,Hackathon,Yes
22/08/2024 10:32,20.38.40.167,POST,/products.html,404,Germany,Data Scientist,Workshop,No
31/08/2024 14:14,58.197.86.70,POST,/index.html,200,India,ML Engineer,Hackathon,No
26/04/2024 09:01,50.194.8.141,POST,/event.php,200,Germany,ML Engineer,Demo Day,No
11/07/2024 04:35,157.165.11.89,GET,/index.html,500,UK,Data Scientist,Webinar,Yes
30/01/2024 09:04,216.56.49.64,POST,/assistant.php,200,Brazil,Backend Developer,Workshop,Yes
30/10/2024 02:32,80.54.231.76,POST,/event.php,200,India,Backend Developer,Demo Day,Yes
21/08/2024 01:10,157.49.188.174,GET,/event.php,200,USA,Backend Developer,Workshop,No
16/04/2024 17:23,205.216.201.147,GET,/prototype.php,304,India,Backend Developer,Webinar,Yes
17/09/2024 21:47,118.6.76.53,POST,/scheduledemo.php,200,Brazil,Backend Developer,Workshop,Yes
19/04/2024 14:33,88.61.192.54,GET,/scheduledemo.php,301,UK,ML Engineer,Workshop,Yes
23/12/2024 08:13,167.146.104.40,GET,/prototype.php,500,Germany,Data Scientist,Hackathon,Yes
28/01/2024 12:23,237.81.80.187,POST,/prototype.php,200,USA,DevOps,Conference,Yes
11/10/2024 03:17,42.222.157.52,POST,/prototype.php,200,Brazil,Backend Developer,Hackathon,Yes
21/09/2024 17:44,69.106.225.57,GET,/prototype.php,200,UK,ML Engineer,Hackathon,Yes
08/09/2024 19:03,113.32.165.79,POST,/products.html,200,Germany,Data Scientist,Hackathon,Yes
